DD Field,Source Field,Field Description,Resource
AboveGradeFinishedArea,AboveGradeFinishedArea,Finished area within the structure that is at or above the surface of the ground.,Property
AboveGradeFinishedAreaSource,AboveGradeFinishedAreaSource,"The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Property
AboveGradeFinishedAreaUnits,AboveGradeFinishedAreaUnits,"A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
AccessibilityFeatures,AccessibilityFeatures,A list or description of the accessibility features included in the sale/lease.,Property
AdditionalParcelsYN,NumberOfParcels,Are there more than one parcel or lot included in the sale?,Property
Appliances,"Appliances, Inclusions, InteriorFeatures, NumberOfDishwashers, NumberOfDryers, NumberOfRefrigerators, NumberOfStoves, NumberOfWashers",A list of the appliances that will be included in the sale/lease of the property.,Property
ArchitecturalStyle,ArchitecturalStyle,"A list describing the style of the structure.  For example, Victorian, Ranch, Craftsman, etc.",Property
AssociationAmenities,AssociationAmenities,"Amenities provided by the Home Owners Association, Mobile Park or Complex. For example Pool, Clubhouse, etc.",Property
AssociationFee,AssociationFee,"A fee paid by the homeowner to the Home Owners Association which is used for the upkeep of the common area, neighborhood or other association related benefits.",Property
AssociationFee2,AdditionalMonthlyFees,"A fee paid by the homeowner to the second of two Home Owners Associations, which is used for the upkeep of the common area, neighborhood or other association related benefits.",Property
AssociationFee2Frequency,"""Monthly"',"The frequency the association fee is paid.  For example, Weekly, Monthly, Annually, Bi-Monthly, One Time, etc.",Property
AssociationFeeFrequency,AssociationFeeFrequency,"The frequency the association fee is paid.  For example, Weekly, Monthly, Annually, Bi-Monthly, One Time, etc.",Property
AssociationFeeIncludes,"AssociationFeeIncludes, AssociationFeeIncludesText","Services included with the association fee.  For example Landscaping, Trash, Water, etc.",Property
AssociationYN,"AssociationAmenities, AssociationFee, AssociationFeeFrequency, AssociationFeeIncludes",Is there a Home Owners Association.  A separate Y/N field is needed because not all associations have dues.,Property
AttachedGarageYN,"GarageType, ParkingFeatures",A flag indicating that the garage attached to the dwelling.,Property
Basement,"Basement, BasementFinish, BasementType, InteriorFeatures","A list of information and features about the basement.  i.e. None/Slab, Finished, Partially Finished, Crawl Space, Dirt, Outside Entrance, Radon Mitigation",Property
BathroomsFull,BathroomsFull,"A room containing all 4 of the 4 elements constituting a bath, which are; Toilet, Sink, Bathtub or Shower Head.  A Full Bath will typically contain four elements; Sink, Toilet, Tub and Shower Head (in tub or stall).  However, some may considered a Sink, Toilet and Tub (without a shower) a Full Bath, others consider this to be a Three Quarter Bath.  In the event that BathroomsThreeQuarter is not in use, this field may represent the sum of all Full and Three Quarter bathrooms.",Property
BathroomsHalf,BathroomsHalf,"A room containing 2 of the 4 elements constituting a bath, which are; Toilet, Sink, Bathtub or Shower Head.  A Half Bath will typically contain a Sink and Toilet.",Property
BathroomsTotalDecimal,,A decimal representation of the total number of bathrooms.,Property
BathroomsTotalInteger,BathroomsTotalInteger,"The simple sum of the number of bathrooms.  For example for a property with two Full Bathrooms and one Half Bathroom, the Bathrooms Total Integer will be 3.  To express this example as 2.5, use the BathroomsTotalDecimal field.  To express this example as 2.1, use the BathroomsTotalNotational.",Property
BedroomsTotal,"BedroomsTotal, NumberOf1BedroomUnits, NumberOf2BedroomUnits, NumberOf3BedroomUnits, NumberOf4BedroomUnits, NumberOf5BedroomUnits, NumberOf6PlusBedroomUnits",The total number of bedrooms in the dwelling.,Property
BelowGradeFinishedArea,BelowGradeFinishedArea,Finished area within the structure that is below ground.,Property
BelowGradeFinishedAreaSource,BelowGradeFinishedAreaSource,"The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Property
BelowGradeFinishedAreaUnits,BelowGradeFinishedAreaUnits,"A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Property
BuildingAreaSource,BuildingAreaSource,"The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Property
BuildingAreaTotal,BuildingAreaTotal,Total area of the structure. Includes both finished and unfinished areas.,Property
BuildingAreaUnits,BuildingAreaUnits,"A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
BuildingName,BuildingName,Name of the building or business park.,Property
BusinessName,BusinessName,Name of the business being sold.,Property
BusinessType,BusinessType,"The type of business being sold. Retail, Wholesale, Grocery, Food & Bev, etc.",Property
CarportSpaces,CarportSpaces,The number of carport spaces included in the sale.,Property
CarportYN,"CarportSpaces, ParkingFeatures","A flag indicating that the listing has a car port. This flag may be T/F, Y/N or other true, false or unknown indicator. As with all flags, the field may be null.",Property
City,City,The city in listing address.,Property
CoListAgentAOR,CoListAgentAOR,The Co Listing Agent's Board or Association of REALTORS.,Property
CoListAgentCellPhone,CoListAgentMobilePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListAgentDesignation,CoListAgentDesignation,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by NAR and each affiliated group upon completion of required courses.,Property
CoListAgentDirectPhone,CoListAgentDirectPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListAgentEmail,CoListAgentEmail,The email address of the Co Listing Agent.,Property
CoListAgentFullName,CoListAgentFullName,The full name of the co-listing agent. (First Middle Last),Property
CoListAgentKeyNumeric,CoListAgentKeyNumeric,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.  This is the numeric only key and used as an alternative to the CoListAgentKey field.",Property
CoListAgentMlsId,CoListAgentMlsId,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
CoListAgentPreferredPhone,"CoListAgentDirectPhone, CoListAgentMobilePhone",North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListOfficeFax,CoListOfficeFax,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListOfficeKeyNumeric,CoListOfficeKeyNumeric,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.  This is the numeric only key and used as an alternative to the CoListOfficeKey field.",Property
CoListOfficeMlsId,CoListOfficeMlsId,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
CoListOfficeName,CoListOfficeName,The legal name of the brokerage co-representing the seller.,Property
CoListOfficePhone,CoListOfficePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListOfficePhoneExt,CoListOfficePhoneExt,The extension of the given phone number (if applicable).,Property
ConstructionMaterials,ConstructionMaterials,A list of the materials that were used in the construction of the property.,Property
Cooling,Cooling,A list describing the cooling or air conditioning features of the property.,Property
CoolingYN,CoolingYN,The property has cooling or Air Conditioning.,Property
Coordinates,,"Geographical coordinates (longitude, latitude)",Property
Country,"""CA"',The country abbreviation in a postal address.,Property
CountyOrParish,CountyOrParish,"The County, Parish or other regional authority",Property
CoveredSpaces,"CarportSpaces, GarageSpaces",The total number of garage and carport spaces.,Property
CropsIncludedYN,CropsIncludedYN,Are crops included in the sale of the property.,Property
CrossStreet,CrossStreet,"Nearest cross streets to the property.  This field is in addition to, and independent of, the driving directions field.",Property
CultivatedArea,AcresWorkable,Measurement or percentage of the property that has been cultivated.,Property
DirectionFaces,DirectionFaces,"The compass direction that the main entrance to the building faces. For example, North, South, East, West, South-West, etc. It may also be known as the building exposure.",Property
Directions,Directions,Driving directions to the property.,Property
DoorFeatures,ExteriorFeatures,A list of features or description of the doors included in the sale/lease.,Property
Electric,"Amps, Electric, Volts","A list of electric-service related features of the property (e.g. 110 Volt, 3 Phase, 220 Volt, RV Hookup). Note: the previous 'Electric' field was renamed to DistanceToElectricComments",Property
ElectricExpense,ElectricExpense,The annual expense that is not paid directly by the tenant and is included in the Operating Expense calculations.,Property
ElectricOnPropertyYN,Services,Does the property currently have electrical utility available on the property.,Property
ElementarySchool,ElementarySchool,The name of the primary school having a catchment area that includes the associated property.,Property
Exclusions,Exclusions,Elements of the property that will not be included in the sale.  i.e. Chandeliers will be removed prior to close.,Property
ExistingLeaseType,PriceType,"Information about the status of the existing lease on the property.  i.e. Net, NNN, NN, Gross, Absolute Net, Escalation Clause, Ground Lease, etc.",Property
ExteriorFeatures,"ExteriorFeatures, OutsideStorageYN",A list of features or description of the exterior of the property included in the sale/lease.,Property
