DD Field,Source Field,Field Description,Resource
AccessibilityFeatures,HandicappedYN,A list or description of the accessibility features included in the sale/lease.,Property
AdditionalParcelsYN,NumberParcels,Are there more than one parcel or lot included in the sale?,Property
Appliances,FeaturesInterior,A list of the appliances that will be included in the sale/lease of the property.,Property
ArchitecturalStyle,Style,"A list describing the style of the structure.  For example, Victorian, Ranch, Craftsman, etc.",Property
AssociationAmenities,CondoAmenities,"Amenities provided by the Home Owners Association, Mobile Park or Complex. For example Pool, Clubhouse, etc.",Property
AssociationFee,CondoFee,"A fee paid by the homeowner to the Home Owners Association which is used for the upkeep of the common area, neighborhood or other association related benefits.",Property
AssociationFeeFrequency,CondoFee,"The frequency the association fee is paid.  For example, Weekly, Monthly, Annually, Bi-Monthly, One Time, etc.",Property
AssociationYN,CondoFee,Is there a Home Owners Association.  A separate Y/N field is needed because not all associations have dues.,Property
AttachedGarageYN,GarageAndParking,A flag indicating that the garage attached to the dwelling.,Property
Basement,"BasementDevelopment, BasementFinish, BasementSize, FeaturesInterior","A list of information and features about the basement.  i.e. None/Slab, Finished, Partially Finished, Crawl Space, Dirt, Outside Entrance, Radon Mitigation",Property
BathroomsFull,BathsFull,"A room containing all 4 of the 4 elements constituting a bath, which are; Toilet, Sink, Bathtub or Shower Head.  A Full Bath will typically contain four elements; Sink, Toilet, Tub and Shower Head (in tub or stall).  However, some may considered a Sink, Toilet and Tub (without a shower) a Full Bath, others consider this to be a Three Quarter Bath.  In the event that BathroomsThreeQuarter is not in use, this field may represent the sum of all Full and Three Quarter bathrooms.",Property
BathroomsHalf,BathsHalf,"A room containing 2 of the 4 elements constituting a bath, which are; Toilet, Sink, Bathtub or Shower Head.  A Half Bath will typically contain a Sink and Toilet.",Property
BathroomsTotalInteger,"BathsFull, BathsHalf, BathsTotalRooms","The simple sum of the number of bathrooms.  For example for a property with two Full Bathrooms and one Half Bathroom, the Bathrooms Total Integer will be 3.  To express this example as 2.5, use the BathroomsTotalDecimal field.  To express this example as 2.1, use the BathroomsTotalNotational.",Property
BedroomsTotal,BedsTotal,The total number of bedrooms in the dwelling.,Property
BridgeModificationTimestamp,,A timestamp representing when last this record was modified in the Bridge system.,Property
BuildingAreaSource,SqftSource,"The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.",Property
BuildingAreaTotal,SqFtTotal,Total area of the structure. Includes both finished and unfinished areas.,Property
BuildingAreaUnits,"""Square Feet""","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.",Property
BuildingFeatures,ElevatorEscalator,Features or amenities of the building or business park.,Property
BuildingName,BuildingName,Name of the building or business park.,Property
BusinessName,BusinessName,Name of the business being sold.,Property
BusinessType,Use,"The type of business being sold. Retail, Wholesale, Grocery, Food & Bev, etc.",Property
CarportYN,GarageAndParking,"A flag indicating that the listing has a car port. This flag may be T/F, Y/N or other true, false or unknown indicator. As with all flags, the field may be null.",Property
City,City,The city in listing address.,Property
CoListAgentAOR,CoListAgentBoard,The Co Listing Agent's Board or Association of REALTORS.,Property
CoListAgentCellPhone,CoListAgentCellPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListAgentEmail,CoListAgentEmail,The email address of the Co Listing Agent.,Property
CoListAgentFullName,CoListAgentFullName,The full name of the co-listing agent. (First Middle Last),Property
CoListAgentKey,CoListAgent_MUI,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Member resource's MemberKey.",Property
CoListAgentMlsId,CoListAgentMLSID,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
CoListAgentPreferredPhone,CoListAgentDirectWorkPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListOfficeEmail,CoListAgentEmail,The email address of the Co Listing Office.,Property
CoListOfficeFax,CoListOfficeFaxPhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
CoListOfficeKey,CoListOffice_MUI,"A system unique identifier. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.  This is a foreign key relating to the Office resource's OfficeKey.",Property
CoListOfficeMlsId,CoListOfficeMLSID,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",Property
CoListOfficeName,CoListOfficeName,The legal name of the brokerage co-representing the seller.,Property
CoListOfficePhone,CoListOfficePhone,North American 10 digit phone numbers should be in the format of ###-###-#### (separated by hyphens).  Other conventions should use the common local standard.  International numbers should be preceded by a plus symbol.,Property
ConstructionMaterials,Exterior,A list of the materials that were used in the construction of the property.,Property
ContingentDate,ConditionalDate,"The date an offer was made with a contingency. The Listing remains On Market.  This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.",Property
Cooling,"AirConditioning, AirConditioningType",A list describing the cooling or air conditioning features of the property.,Property
CoolingYN,AirConditioning,The property has cooling or Air Conditioning.,Property
