"DD Field","Source Field","Field Description","Selected","Resource"
"AboveGradeFinishedArea","","Finished area within the structure that is at or above the surface of the ground.","No","Property"
"AboveGradeFinishedAreaSource","","The source of the measurements. This is a pick list of options showing the source of the measurement. i.e. Agent, Assessor, Estimate, etc.","No","Property"
"AboveGradeFinishedAreaUnits","","A pick list of the unit of measurement for the area.  i.e. Square Feet, Square Meters, Acres, etc.","No","Property"
"AccessCode","","If the property is located behind an unmanned security gate such as in a Gated Community, what is the code to gain access through the secured gate.","No","Property"
"AccessibilityFeatures","HandicappedYN","A list or description of the accessibility features included in the sale/lease.","Yes","Property"
"AdditionalParcelsDescription","","If additional parcels are included in the sale, a list of those parcel's IDs separated by commas.  Do not include the first or primary parcel number, that should be located in the Parcel Number field.","No","Property"
"AdditionalParcelsYN","NumberParcels","Are there more than one parcel or lot included in the sale?","Yes","Property"
"AnchorsCoTenants","","The main or most notable tenants as well as other tenants of the shopping center or mall in which the commercial property is located.","No","Property"
"Appliances","FeaturesInterior","A list of the appliances that will be included in the sale/lease of the property.","Yes","Property"
"ApprovalStatus","","When an MLS has the ability to set a listing to Draft and/or has facility to allow an agent to input, but their manager to approve the listings before publishing, this field is used for such control.","No","Property"
"ArchitecturalStyle","Style","A list describing the style of the structure.  For example, Victorian, Ranch, Craftsman, etc.","Yes","Property"
"AssociationAmenities","CondoAmenities","Amenities provided by the Home Owners Association, Mobile Park or Complex. For example Pool, Clubhouse, etc.","Yes","Property"
"AssociationFee","CondoFee","A fee paid by the homeowner to the Home Owners Association which is used for the upkeep of the common area, neighborhood or other association related benefits.","Yes","Property"
"AssociationFee2","","A fee paid by the homeowner to the second of two Home Owners Associations, which is used for the upkeep of the common area, neighborhood or other association related benefits.","No","Property"
"AssociationFee2Frequency","","The frequency the association fee is paid.  For example, Weekly, Monthly, Annually, Bi-Monthly, One Time, etc.","No","Property"
"AssociationFeeFrequency","CondoFee","The frequency the association fee is paid.  For example, Weekly, Monthly, Annually, Bi-Monthly, One Time, etc.","Yes","Property"
